GeneID	cluster#	1hr	3hr	6hr	12hr	24hr
 1435926_at 	3	0	-0.6	-1.3	-1.5	-1.7
 1436125_at 	3	-0.1	0.1	-1.1	-1.6	-1.5
 1447284_at 	3	0	-0.1	-1.1	-1.5	-1.7
 1428951_at 	3	0.2	-0.4	-1.4	-1.3	-1.1
 1415725_at 	3	0	-0.2	-1.1	-1.6	-0.8
 1416071_at 	3	-0.2	-0.4	-1.2	-1.9	-0.9
 1448882_at 	3	-0.1	-0.3	-1.2	-1.9	-1.1
 1429521_at 	3	-0.1	-0.4	-1.1	-2.1	-0.9
 1436494_x_at 	3	0.1	-0.2	-1	-1.9	-1.3
 1436448_a_at 	3	0.2	0	-0.4	-1.9	-1.2
 1447109_at 	3	0.2	-1	-1	-0.9	-1.1
 1459529_at 	3	0	-0.7	-1.7	-1	-0.7
 1429122_a_at 	3	-0.2	-0.5	-1.8	-1.8	-0.8
 1460678_at 	3	-0.3	-0.8	-1.4	-1.9	-0.5
 1415774_at 	3	0	-0.5	-0.6	-2.5	-0.7
 1436781_at 	3	-0.2	-1.8	-1.6	-1.9	-0.4
 1458679_a_at 	4	0	-0.3	-0.7	-1.3	-0.6
 1460638_at 	4	0	-0.3	-0.6	-1.4	-0.6
 1415793_at 	4	0	-0.2	-0.7	-1.3	-0.7
 1448585_at 	4	0	-0.2	-0.6	-1.4	-0.7
 1415733_a_at 	4	0	-0.3	-0.8	-1.4	-0.7
 1436390_a_at 	4	0	-0.2	-0.9	-1.5	-0.6
 1415785_a_at 	4	0	-0.1	-0.4	-1.2	-0.6
 1447679_s_at 	4	0	-0.2	-0.5	-1.2	-0.6
 1460323_at 	4	0	-0.3	-0.5	-1.2	-0.7
 1429057_at 	4	0.1	-0.2	-0.6	-1.1	-0.5
 1436543_at 	4	0	-0.2	-0.6	-1.2	-0.4
 1429456_a_at 	4	-0.2	-0.3	-0.6	-1.2	-0.7
 1447900_x_at 	4	-0.2	-0.1	-0.6	-1	-0.6
 1415735_at 	4	-0.1	-0.1	-0.4	-1.1	-0.8
 1449137_at 	4	-0.1	-0.1	-0.5	-1.1	-0.9
 1460571_at 	4	-0.2	0	-0.6	-1.1	-0.9
 1415867_at 	4	-0.1	-0.2	-0.6	-1.2	-0.9
 1429411_a_at 	4	0	-0.2	-0.5	-1.2	-1
 1415985_at 	4	-0.3	-0.2	-0.4	-1.2	-1
 1460445_at 	4	-0.2	-0.2	-0.4	-1.2	-0.9
 1415771_at 	4	0.1	0	-0.5	-1.3	-0.9
 1429508_at 	4	0.2	0	-0.4	-1.1	-0.8
 1428883_at 	4	0	0.1	-0.7	-1.2	-0.7
 1429532_at 	4	0.3	-0.2	-0.7	-1.3	-0.9
 1436689_a_at 	4	0	0	-0.4	-1.1	-0.4
 1460726_at 	4	0	0.1	-0.4	-1	-0.6
 1460184_at 	4	-0.2	-0.2	-0.3	-1	-0.5
 1416070_a_at 	4	-0.1	-0.3	-1	-1.1	-0.9
 1429267_at 	4	-0.1	-0.2	-0.9	-1.2	-0.9
 1447780_x_at 	4	-0.2	-0.1	-0.9	-1.1	-0.7
 1428892_at 	4	0	-0.5	-0.8	-1.1	-0.9
 1436393_a_at 	4	-0.2	-0.5	-0.9	-1.3	-0.8
 1429329_at 	4	-0.2	-0.4	-0.8	-1.6	-0.7
 1416100_at 	4	-0.1	-0.3	-0.7	-1	-0.3
 1460389_at 	4	-0.1	-0.4	-0.6	-1	-0.3
 1449107_at 	4	-0.2	-0.2	-0.6	-1	-0.4
 1436336_at 	4	0	-0.4	-1	-1.1	-0.5
 1444644_x_at 	4	-0.1	-0.4	-0.8	-1	-0.5
 1460655_a_at 	4	0.3	-0.3	-0.7	-1	-0.4
 1448664_a_at 	4	0	-0.2	-0.9	-1.3	-0.2
 1436322_a_at 	4	-0.2	-0.8	-1.3	-1.7	-0.2
 1436323_at 	4	-0.4	-0.7	-1	-1	-0.3
 1444420_at 	4	-0.7	-1.1	-0.8	-1.5	1.1
 1448802_at 	4	-0.1	-0.5	-0.8	-0.2	1
 1445897_s_at 	5	0.2	1.5	2.5	2.6	2.5
 1459151_x_at 	5	0	1.4	2.5	2.5	2.4
 1429564_at 	5	0	1.1	2.4	2.6	2
 1445271_at 	5	0.4	1.3	2.7	2.3	2
 1435927_at 	5	0.2	1.5	2.4	2.8	1.6
 1429387_at 	5	0.6	1.2	1.5	2.9	2.4
 1448958_at 	5	-0.1	0.9	1.7	2.6	2.1
 1428843_at 	5	0	1.1	2.1	2.4	1.6
 1460614_at 	5	0	1.2	2	2.2	1.2
 1443858_at 	5	0.1	1.1	2.2	1.9	1.6
 1448583_at 	5	0	0.7	1.8	1.9	1.6
 1448939_at 	5	-0.2	0.6	1.6	2.1	1.5
 1460495_s_at 	5	0.3	0.8	1.7	2.2	1.5
 1436507_at 	5	0.3	1	1.3	1.7	1.8
